"Name","Filings","Type","LG ID","FIPS","Census MRF","Counties"
"Aguilar, Town of",View Filings,Statutory Towns,36001,00760,5,Las Animas
"Akron, Town of",View Filings,Statutory Towns,61002,00925,10,Washington
"Alamosa, City of",View Filings,Home Rule Municipalities,2003,01090,15,Alamosa
"Alma, Town of",View Filings,Statutory Towns,47001,01530,20,Park
"Antonito, Town of",View Filings,Statutory Towns,11001,02355,25,Conejos
"Arriba, Town of",View Filings,Statutory Towns,37002,03235,35,Lincoln
"Arvada, City of",View Filings,Home Rule Municipalities,64009,03455,40,"Adams, Jefferson"
"Aspen, City of",View Filings,Home Rule Municipalities,49006,03620,45,Pitkin
"Ault, Town of",View Filings,Statutory Towns,62003,03950,50,Weld
"Aurora, City of",View Filings,Home Rule Municipalities,64010,04000,55,"Adams, Arapahoe, Douglas"
"Avon, Town of",View Filings,Home Rule Municipalities,19003,04110,57,Eagle
"Basalt, Town of",View Filings,Home Rule Municipalities,64017,04935,60,"Eagle, Pitkin"
"Bayfield, Town of",View Filings,Statutory Towns,34005,05265,65,La Plata
"Bennett, Town of",View Filings,Statutory Towns,64258,06090,75,"Adams, Arapahoe"
"Berthoud, Town of",View Filings,Statutory Towns,64237,06255,80,"Larimer, Weld"
"Bethune, Town of",View Filings,Statutory Towns,32001,06530,85,Kit Carson
"Black Hawk, City of",View Filings,Home Rule Municipalities,24001,07025,90,Gilpin
"Blanca, Town of",View Filings,Statutory Towns,12001,07190,95,Costilla
"Blue River, Town of",View Filings,Statutory Towns,59002,07410,97,Summit
"Bonanza City, Town of",View Filings,Statutory Towns,55002,07571,100,Saguache
"Boone, Town of",View Filings,Statutory Towns,51005,07795,105,Pueblo
"Boulder, City of",View Filings,Home Rule Municipalities,7006,07850,110,Boulder
"Bow Mar, Town of",View Filings,Statutory Towns,64026,08070,115,"Arapahoe, Jefferson"
"Branson, Town of",View Filings,Statutory Towns,36002,08345,120,Las Animas
"Breckenridge, Town of",View Filings,Home Rule Municipalities,59004,08400,125,Summit
"Brighton, City of",View Filings,Home Rule Municipalities,64029,08675,130,"Adams, Weld"
"Brookside, Town of",View Filings,Statutory Towns,22001,09115,140,Fremont
"Broomfield, City and County of",View Filings,City & County Of Broomfield,64030,09280,143,Broomfield
"Brush, City of",View Filings,Statutory Cities,44001,09555,150,Morgan
"Buena Vista, Town of",View Filings,Statutory Towns,8002,10105,155,Chaffee
"Burlington, City of",View Filings,Home Rule Municipalities,32004,10600,160,Kit Carson
"Calhan, Town of",View Filings,Statutory Towns,21006,11260,165,El Paso
"Campo, Town of",View Filings,Statutory Towns,5003,11645,170,Baca
"Canon City, City of",View Filings,Home Rule Municipalities,22002,11810,175,Fremont
"Carbonate, Town of",View Filings,Statutory Towns,66636,,,Garfield
"Carbondale, Town of",View Filings,Home Rule Municipalities,23004,12045,180,Garfield
"Castle Pines, City of",View Filings,Home Rule Municipalities,65986,12387,,Douglas
"Castle Rock, Town of",View Filings,Home Rule Municipalities,18003,12415,185,Douglas
"Cedaredge, Town of",View Filings,Home Rule Municipalities,15003,12635,190,Delta
"Centennial, City of",View Filings,Home Rule Municipalities,3163,12815,193,Arapahoe
"Center, Town of",View Filings,Statutory Towns,64039,12855,195,"Rio Grande, Saguache"
Central City,View Filings,Home Rule Municipalities,64263,12910,200,"Clear Creek, Gilpin"
"Cheraw, Town of",View Filings,Statutory Towns,45001,13460,205,Otero
"Cherry Hills Village, City of",View Filings,Home Rule Municipalities,3023,13845,210,Arapahoe
"Cheyenne Wells, Town of",View Filings,Statutory Towns,9007,14175,215,Cheyenne
"Coal Creek, Town of",View Filings,Statutory Towns,22006,15330,225,Fremont
"Cokedale, Town of",View Filings,Statutory Towns,36004,15550,230,Las Animas
"Collbran, Town of",View Filings,Statutory Towns,39011,15605,235,Mesa
"Colorado Springs, City of",View Filings,Home Rule Municipalities,21015,16000,240,El Paso
"Columbine Valley, Town of",View Filings,Statutory Towns,3029,16385,244,Arapahoe
"Commerce City, City of",View Filings,Home Rule Municipalities,1005,16495,245,Adams
"Cortez, City of",View Filings,Home Rule Municipalities,42004,17375,250,Montezuma
"Craig, City of",View Filings,Home Rule Municipalities,41004,17760,255,Moffat
"Crawford, Town of",View Filings,Statutory Towns,15005,17925,260,Delta
"Creede, City of",View Filings,Statutory Towns,40001,14765,265,Mineral
"Crested Butte, Town of",View Filings,Home Rule Municipalities,26004,18310,270,Gunnison
"Crestone, Town of",View Filings,Statutory Towns,55004,18420,275,Saguache
"Cripple Creek, City of",View Filings,Statutory Cities,60001,18530,280,Teller
"Crook, Town of",View Filings,Statutory Towns,38002,18640,285,Logan
"Crowley, Town of",View Filings,Statutory Towns,13002,18750,290,Crowley
"Dacono, City of",View Filings,Home Rule Municipalities,62007,19080,295,Weld
"De Beque, Town of",View Filings,Statutory Towns,39012,19355,300,Mesa
"Deer Trail, Town of",View Filings,Statutory Towns,3033,19630,305,Arapahoe
"Del Norte, Town of",View Filings,Statutory Towns,53002,19795,310,Rio Grande
"Delta, City of",View Filings,Home Rule Municipalities,15015,19850,315,Delta
"Denver, City And County of",View Filings,City & County Of Denver,16002,20000,320,Denver
"Dillon, Town of",View Filings,Home Rule Municipalities,59009,20440,330,Summit
"Dinosaur, Town of",View Filings,Statutory Towns,41005,20495,332,Moffat
"Dolores, Town of",View Filings,Statutory Towns,42008,20770,335,Montezuma
"Dove Creek, Town of",View Filings,Statutory Towns,17003,21265,340,Dolores
"Durango, City of",View Filings,Home Rule Municipalities,34008,22035,350,La Plata
"Eads, Town of",View Filings,Statutory Towns,31002,22145,355,Kiowa
"Eagle, Town of",View Filings,Home Rule Municipalities,19009,22200,360,Eagle
"Eaton, Town of",View Filings,Statutory Towns,62008,22860,370,Weld
"Eckley, Town of",View Filings,Statutory Towns,63003,23025,375,Yuma
"Edgewater, City of",View Filings,Home Rule Municipalities,30020,23135,380,Jefferson
"Elizabeth, Town of",View Filings,Statutory Towns,20004,23740,385,Elbert
"Empire, Town of",View Filings,Statutory Towns,10005,24620,390,Clear Creek
"Englewood, City of",View Filings,Home Rule Municipalities,3041,24785,395,Arapahoe
"Erie, Town of",View Filings,Statutory Towns,64060,24950,400,"Boulder, Weld"
"Estes Park, Town of",View Filings,Statutory Towns,35004,25115,405,Larimer
"Evans, City of",View Filings,Home Rule Municipalities,62011,25280,415,Weld
"Fairplay, Town of",View Filings,Statutory Towns,47005,25610,425,Park
"Federal Heights, City of",View Filings,Home Rule Municipalities,1009,26270,430,Adams
"Firestone, Town of",View Filings,Statutory Towns,62012,26600,435,Weld
"Flagler, Town of",View Filings,Statutory Towns,32010,26765,440,Kit Carson
"Fleming, Town of",View Filings,Statutory Towns,38005,26875,445,Logan
"Florence, City of",View Filings,Statutory Cities,22011,27040,450,Fremont
"Fort Collins, City of",View Filings,Home Rule Municipalities,35009,27425,455,Larimer
"Fort Lupton, City of",View Filings,Statutory Cities,62014,27700,465,Weld
"Fort Morgan, City of",View Filings,Home Rule Municipalities,44006,27810,470,Morgan
"Fountain, City of",View Filings,Home Rule Municipalities,21026,27865,475,El Paso
"Fowler, Town of",View Filings,Statutory Towns,45004,27975,480,Otero
"Foxfield, Town of",View Filings,Statutory Towns,3134,28105,483,Arapahoe
"Fraser, Town of",View Filings,Statutory Towns,25006,28305,485,Grand
"Frederick, Town of",View Filings,Statutory Towns,62016,28360,490,Weld
"Frisco, Town of",View Filings,Home Rule Municipalities,59015,28690,500,Summit
"Fruita, City of",View Filings,Home Rule Municipalities,39014,28745,505,Mesa
"Garden City, Town of",View Filings,Statutory Towns,62018,29185,510,Weld
"Genoa, Town of",View Filings,Statutory Towns,37004,29680,515,Lincoln
"Georgetown, Town of",View Filings,Territorial Charter Municipalities,10007,29735,520,Clear Creek
"Gilcrest, Town of",View Filings,Statutory Towns,62020,29955,525,Weld
"Glendale, City of",View Filings,Home Rule Municipalities,3043,30340,530,Arapahoe
"Glenwood Springs, City of",View Filings,Home Rule Municipalities,23008,30780,535,Garfield
"Golden, City of",View Filings,Home Rule Municipalities,30035,30835,540,Jefferson
"Granada, Town of",View Filings,Statutory Towns,50007,31550,545,Prowers
"Granby, Town of",View Filings,Statutory Towns,25008,31605,550,Grand
"Grand Junction, City of",View Filings,Home Rule Municipalities,39020,31660,555,Mesa
"Grand Lake, Town of",View Filings,Statutory Towns,25014,31715,560,Grand
"Greeley, City of",View Filings,Home Rule Municipalities,62022,32155,570,Weld
"Green Mountain Falls, Town of",View Filings,Statutory Towns,64070,32650,575,"El Paso, Teller"
"Greenwood Village, City of",View Filings,Home Rule Municipalities,3051,33035,580,Arapahoe
"Grover, Town of",View Filings,Statutory Towns,62023,33310,585,Weld
"Gunnison, City of",View Filings,Home Rule Municipalities,26008,33640,590,Gunnison
"Gypsum, Town of",View Filings,Home Rule Municipalities,19020,33695,595,Eagle
"Hartman, Town of",View Filings,Statutory Towns,50008,34520,600,Prowers
"Haswell, Town of",View Filings,Statutory Towns,31003,34740,605,Kiowa
"Haxtun, Town of",View Filings,Statutory Towns,48004,34960,610,Phillips
"Hayden, Town of",View Filings,Home Rule Municipalities,54005,35070,615,Routt
"Hillrose, Town of",View Filings,Statutory Towns,44007,36610,620,Morgan
"Holly, Town of",View Filings,Statutory Towns,50011,37215,625,Prowers
"Holyoke, City of",View Filings,Home Rule Municipalities,48005,37270,630,Phillips
"Hooper, Town of",View Filings,Statutory Towns,2005,37380,635,Alamosa
"Hot Sulphur Springs, Town of",View Filings,Statutory Towns,25015,37600,645,Grand
"Hotchkiss, Town of",View Filings,Statutory Towns,15020,37545,640,Delta
"Hudson, Town of",View Filings,Statutory Towns,62029,37820,650,Weld
"Hugo, Town of",View Filings,Statutory Towns,37006,37875,655,Lincoln
"Idaho Springs, City of",View Filings,Statutory Cities,10008,38370,660,Clear Creek
"Ignacio, Town of",View Filings,Statutory Towns,34015,38535,665,La Plata
