City/Town Name:,Type:,LG ID:,FIPS:,Census MRF:,Counties:
"Commerce City, City of",Home Rule Municipalities,01005,16495,245,Adams
"Federal Heights, City of",Home Rule Municipalities,01009,26270,430,Adams
"Alamosa, City of",Home Rule Municipalities,02003,1090,15,Alamosa
"Hooper, Town of",Statutory Towns,02005,37380,635,Alamosa
"Cherry Hills Village, City of",Home Rule Municipalities,03023,13845,210,Arapahoe
"Columbine Valley, Town of",Statutory Towns,03029,16385,244,Arapahoe
"Deer Trail, Town of",Statutory Towns,03033,19630,305,Arapahoe
"Englewood, City of",Home Rule Municipalities,03041,24785,395,Arapahoe
"Glendale, City of",Home Rule Municipalities,03043,30340,530,Arapahoe
"Greenwood Village, City of",Home Rule Municipalities,03051,33035,580,Arapahoe
"Sheridan, City of",Home Rule Municipalities,03065,69645,1200,Arapahoe
"Foxfield, Town of",Statutory Towns,03134,28105,483,Arapahoe
"Centennial, City of",Home Rule Municipalities,03163,12815,193,Arapahoe
"Pagosa Springs, Town of",Home Rule Municipalities,04006,56860,1015,Archuleta
"Campo, Town of",Statutory Towns,05003,11645,170,Baca
"Pritchett, Town of",Statutory Towns,05006,61315,1075,Baca
"Springfield, Town of",Statutory Towns,05011,73330,1240,Baca
"Two Buttes, Town of",Statutory Towns,05016,79270,1300,Baca
"Vilas, Town of",Statutory Towns,05019,81030,1315,Baca
"Walsh, Town of",Statutory Towns,05023,82460,1335,Baca
"Las Animas, City of",Statutory Cities,06005,43660,780,Bent
"Boulder, City of",Home Rule Municipalities,07006,7850,110,Boulder
"Jamestown, Town of",Statutory Towns,07018,39195,685,Boulder
"Lafayette, City of",Home Rule Municipalities,07020,41835,735,Boulder
"Louisville, City of",Home Rule Municipalities,07029,46355,825,Boulder
"Lyons, Town of",Statutory Towns,07032,47070,835,Boulder
"Nederland, Town of",Statutory Towns,07033,53175,935,Boulder
"Ward, Town of",Home Rule Municipalities,07042,82735,1340,Boulder
"Buena Vista, Town of",Statutory Towns,08002,10105,155,Chaffee
"Poncha Springs, Town of",Statutory Towns,08006,60600,1065,Chaffee
"Salida, City of",Statutory Cities,08007,67280,1160,Chaffee
"Cheyenne Wells, Town of",Statutory Towns,09007,14175,215,Cheyenne
"Kit Carson, Town of",Statutory Towns,09013,41010,720,Cheyenne
"Empire, Town of",Statutory Towns,10005,24620,390,Clear Creek
"Georgetown, Town of",Territorial Charter Municipalities,10007,29735,520,Clear Creek
"Idaho Springs, City of",Statutory Cities,10008,38370,660,Clear Creek
"Silver Plume, Town of",Statutory Towns,10009,70360,1220,Clear Creek
"Antonito, Town of",Statutory Towns,11001,2355,25,Conejos
"La Jara, Town of",Statutory Towns,11009,42055,740,Conejos
"Manassa, Town of",Statutory Towns,11010,48060,840,Conejos
"Romeo, Town of",Statutory Towns,11013,65740,1140,Conejos
