Feature Name,ID,Class,County,State,Latitude,Longitude,Ele(ft),Map,BGN Date,Entry Date
Adams County,198116,Civil,Adams,CO,395225N,1042016W,5167,Roper School,,1-Feb-93
Agate Division,1935392,Civil,Elbert,CO,392354N,1035708W,5584,Agate,,26-Sep-01
Aguilar Division,1935393,Civil,Las Animas,CO,373128N,1043057W,6368,Pryor SE,,26-Sep-01
Akron Division,1935394,Civil,Washington,CO,401119N,1031554W,4629,Fremont Butte,,26-Sep-01
Alamosa County,198117,Civil,Alamosa,CO,373422N,1054718W,7533,Hooper SE,,1-Feb-93
Alamosa Division,1935395,Civil,Alamosa,CO,372805N,1054954W,7536,Alamosa East,,26-Sep-01
Antonito Division,1935396,Civil,Conejos,CO,370429N,1055344W,7739,Lobatos,,26-Sep-01
Arapahoe County,198118,Civil,Arapahoe,CO,393859N,1042021W,5558,Strasburg,,1-Feb-93
Arboles Division,1935397,Civil,Archuleta,CO,371303N,1071947W,6945,Chimney Rock,,26-Sep-01
Archuleta County,198119,Civil,Archuleta,CO,371137N,1070254W,7080,Oakbrush Hill,,1-Feb-93
Arriba Division,1935398,Civil,Lincoln,CO,392530N,1031924W,5174,Arriba NE,,26-Sep-01
Aspen Division,1935400,Civil,Pitkin,CO,391205N,1064300W,9964,Thimble Rock,,26-Sep-01
Ault Division,1935401,Civil,Weld,CO,404658N,1044400W,5387,Eastman Creek South,,26-Sep-01
Avondale Division,1935402,Civil,Pueblo,CO,381320N,1042251W,4619,Vineland,,26-Sep-01
Baca County,198120,Civil,Baca,CO,371909N,1023338W,4354,Bisonte,,1-Feb-93
Bald Mountain Division,1935403,Civil,Boulder,CO,400100N,1052822W,8671,Gold Hill,,26-Sep-01
Basalt Division,1935404,Civil,Eagle,CO,392516N,1065110W,11256,Red Creek,,26-Sep-01
Bayfield Division,1935405,Civil,La Plata,CO,372248N,1073513W,7716,Vallecito Reservoir,,26-Sep-01
Beaubien and Miranda Grant,169597,Civil,Colfax,NM,364124N,1044919W,7296,Dawson,,31-Aug-92
Bent County,198121,Civil,Bent,CO,375718N,1030418W,4026,Toonerville NE,,1-Feb-93
Berthoud Division,1935406,Civil,Larimer,CO,401833N,1050907W,5197,Carter Lake Reservoir,,26-Sep-01
Black Forest-Peyton Division,1935407,Civil,El Paso,CO,390238N,1042630W,6847,Peyton,,26-Sep-01
Blanca Division,1935408,Civil,Costilla,CO,372639N,1052403W,8136,Fort Garland,,26-Sep-01
Boulder County,198122,Civil,Boulder,CO,400533N,1052128W,6785,Boulder,,1-Feb-93
Boulder Division,1935409,Civil,Boulder,CO,400028N,1051400W,5266,Niwot,,26-Sep-01
Branson Division,1935410,Civil,Las Animas,CO,371029N,1035040W,5728,Box Ranch,,26-Sep-01
Breckenridge Division,1935411,Civil,Summit,CO,393040N,1060228W,10029,Frisco,,26-Sep-01
Brighton Division,1935412,Civil,Adams,CO,395631N,1044719W,5082,Brighton,,26-Sep-01
Broomfield County,1945881,Civil,Broomfield,CO,395715N,1050310W,5348,Lafayette,,14-Nov-01
Broomfield Division,1945898,Civil,Broomfield,CO,395715N,1050310W,5348,Lafayette,,15-Nov-01
Brush Division,1935413,Civil,Morgan,CO,401441N,1033635W,4236,Miller Ranch,,26-Sep-01
Buena Vista Division,1935414,Civil,Chaffee,CO,385255N,1061427W,10108,Harvard Lakes,,26-Sep-01
Burlington Division,1935415,Civil,Kit Carson,CO,391832N,1021417W,4134,Peconic,,26-Sep-01
Campo Division,1935416,Civil,Baca,CO,370638N,1023416W,4327,Campo,,26-Sep-01
Castle Rock Division,1935418,Civil,Douglas,CO,391528N,1045446W,6831,Dawson Butte,,26-Sep-01
Cañon City Division,1935417,Civil,Fremont,CO,382716N,1051353W,5358,Canon City,,26-Sep-01
Cedaredge Division,1935419,Civil,Delta,CO,385618N,1075744W,6457,Cedaredge,,26-Sep-01
Center Division,1935420,Civil,Saguache,CO,374928N,1061811W,8012,Twin Mountains SE,,26-Sep-01
Central City Division,1935421,Civil,Gilpin,CO,395127N,1053121W,9567,Central City,,26-Sep-01
Central Jefferson Division,1935422,Civil,Jefferson,CO,393731N,1051918W,7247,Evergreen,,26-Sep-01
Chaffee County,198123,Civil,Chaffee,CO,384449N,1061139W,10174,Mount Antero,,1-Feb-93
Cheraw Division,1935423,Civil,Otero,CO,380658N,1033047W,4140,Cheraw,,26-Sep-01
