"MunicipalityName","FIPS_ID","FIPS_ID_Flag","GNIS_ID","GNIS_ID_Flag","DOLA_LG_ID","DOLA_LG_ID_Flag","BNDSS_ID","BNDSS_ID_Flag","PWS_ID","PWS_ID_Flag","DWR_WaterDistrict_ID","DWR_WaterDistrict_ID_Flag","County_CSV","NumCounty","IBCC_Basin_CSV","Num_IBCC_Basin","Latitude","Longitude","Lat_Long_Flag","Website","Website_Flag","Comment"
Aguilar,00760,G,2412339,G,36001,G,Aguilar,G,CO0136100,G,,x,Las Animas,1,Arkansas,1,37.403626,-104.655036,,,,
Akron,00925,G,2412340,G,61002,G,Akron,G,CO0161001,G,,x,Washington,1,South Platte,1,40.163374,-103.220269,,www.townofakron.com,G,
Alamosa,01090,G,2409673,G,02003,G,Alamosa,G,CO0102100,G,,x,Alamosa,1,Rio Grande,1,37.475577,-105.876945,,,,
Alma,01530,G,2412350,G,47001,G,Alma,G,CO0147001,G,,x,Park,1,South Platte,1,39.285945,-106.067034,,http://www.townofalma.com/,G,
Antonito,02355,G,2412370,G,11001,G,Antonito,G,CO0111100,G,,x,Conejos,1,Rio Grande,1,37.077232,-106.010321,,,,
Arriba,03235,G,2411647,G,37002,G,Arriba,G,CO0137001,G,,x,Lincoln,1,South Platte,1,39.284338,-103.274051,,https://www.colorado.gov/arriba,G,
Arvada,03455,G,2409737,G,64009,G,Arvada,G,CO0130001,G,,x,"Adams, Jefferson",2,"Metro, South Platte",2,39.832067,-105.151037,,http://arvada.org/,G,
Aspen,03620,G,2409743,G,49006,G,Aspen,G,CO0149122,G,,x,Pitkin,1,Colorado,1,39.195108,-106.836707,,,,
Ault,03950,G,2411653,G,62003,G,Ault,C,CO0162125,G,,x,Weld,1,South Platte,1,40.589343,-104.740423,,http://www.townofault.org/,G,New BNDSS ID; did not have an ID in original BNDSS
Aurora,04000,G,2409757,G,64010,G,Aurora,G,CO0103005,G,,x,"Adams, Arapahoe, Douglas",3,"Metro, South Platte",2,39.708370,-104.727501,,https://www.auroragov.org/,G,
