Municipality_Name,FIPS_ID,LocalGovt_ID,BNDSS_ID,PWS_ID,County,Basin,Comment
Aguilar,00760,36001,Aguilar,CO0136100,Las Animas,Arkansas,
Akron,00925,61002,Akron,CO0161001,Washington,South Platte,
Alamosa,01090,2003,Alamosa,CO0102100,Alamosa,Rio Grande,
Alma,01530,47001,Alma,CO0147001,Park,South Platte,
Antonito,02355,11001,Antonito,CO0111100,Conejos,Rio Grande,
Arriba,03235,37002,Arriba,CO0137001,Lincoln,South Platte,
Arvada,03455,64009,Arvada,CO0130001,"Adams, Jefferson",Metro,
Aspen,03620,49006,Aspen,CO0149122,Pitkin,Colorado,
Ault,03950,62003,Ault,CO0162125,Weld,South Platte,New BNDSS ID; did not have an ID in original BNDSS
Aurora,04000,64010,Aurora,CO0103005,"Adams, Arapahoe, Douglas",Metro,
Avon,04110,19003,Avon,CO0119126,Eagle,Colorado,
Basalt,04935,64017,Basalt,CO0119134,"Eagle, Pitkin",Colorado,
Bayfield,05265,34005,Bayfield,CO0134030,La Plata,Southwest,
Bennett,06090,64258,Bennett,CO0101020,"Adams, Arapahoe",Metro,
Berthoud,06255,64237,Berthoud,CO0135138,"Larimer, Weld",South Platte,
Bethune,06530,32001,Bethune,CO0132001,Kit Carson,South Platte,
Black Hawk,07025,24001,BlackHawk,CO0124147,Gilpin,South Platte,
Blanca,07190,12001,Blanca,CO0112100,Costilla,Rio Grande,New BNDSS ID; did not have an ID in original BNDSS
Blue River,07410,59002,BlueRiver,NaN,Summit,Colorado,New BNDSS ID; did not have an ID in original BNDSS
Bonanza City,07571,55002,BonanzaCity,CO0079129,Saguache,Rio Grande,New BNDSS ID; did not have an ID in original BNDSS
Boone,07795,51005,Boone,CO0151150,Pueblo,Arkansas,
Boulder,07850,7006,Boulder,CO0107152,Boulder,South Platte,
Bow Mar,08070,64026,BowMar,NaN,"Arapahoe, Jefferson",Metro,New BNDSS ID; did not have an ID in original BNDSS
Branson,08345,36002,Branson,CO0136300,Las Animas,Arkansas,New BNDSS ID; did not have an ID in original BNDSS
Breckenridge,08400,59004,Breckenridge,CO0159020,Summit,Colorado,
Brighton,08675,64029,Brighton,CO0101025,"Adams, Weld","Metro, South Platte",
Brookside,09115,22001,Brookside,CO0122050,Fremont,Arkansas,
Broomfield,09280,64030,Broomfield,CO0107155,Broomfield,Metro,
Brush,09555,44001,Brush,CO0144001,Morgan,South Platte,
Buena Vista,10105,8002,BuenaVista,CO0108300,Chaffee,Arkansas,
Burlington,10600,32004,Burlington,CO0132005,Kit Carson,South Platte,
Calhan,11260,21006,Calhan,CO0121075,El Paso,Arkansas,New BNDSS ID; did not have an ID in original BNDSS
Campo,11645,5003,Campo,CO0105100,Baca,Arkansas,
Canon City,11810,22002,CanonCity,CO0122100,Fremont,Arkansas,
Carbonate,NaN,66636,Carbonate,NaN,Garfield,Colorado,New BNDSS ID; did not have an ID in original BNDSS
Carbondale,12045,23004,Carbondale,CO0123167,Garfield,Colorado,
Castle Pines,12387,65986,CastlePines,NaN,Douglas,Metro,New BNDSS ID; did not have an ID in original BNDSS
Castle Rock,12415,18003,CastleRock,CO0118010,Douglas,Metro,
Cedaredge,12635,15003,Cedaredge,CO0115171,Delta,Gunnison,
Centennial,12815,3163,Centennial,NaN,Arapahoe,Metro,New BNDSS ID; did not have an ID in original BNDSS
Center,12855,64039,Center,CO0155500,"Rio Grande, Saguache",Rio Grande,
Central City,12910,64263,CentralCity,CO0124171,"Clear Creek, Gilpin",South Platte,
Cheraw,13460,45001,Cheraw,CO0145090,Otero,Arkansas,
Cherry Hills Village,13845,3023,CherryHlsVlg,NaN,Arapahoe,Metro,
Cheyenne Wells,14175,9007,CheyenneWells,CO0109006,Cheyenne,South Platte,New BNDSS ID; did not have an ID in original BNDSS
Coal Creek,15330,36004,CoalCreek,CO0122250,Fremont,Arkansas,New BNDSS ID; did not have an ID in original BNDSS
Cokedale,15550,39011,Cokedale,CO0136185,Las Animas,Arkansas,New BNDSS ID; did not have an ID in original BNDSS
Collbran,15605,21015,Collbran,CO0139185,Mesa,Colorado,
Colorado Springs,16000,3029,CSU,CO0121150,El Paso,Arkansas,
Columbine Valley,16385,1005,ColumbineValley,NaN,Arapahoe,Metro,New BNDSS ID; did not have an ID in original BNDSS
Commerce City,16495,42004,CommerceCity,NaN,Adams,Metro,New BNDSS ID; did not have an ID in original BNDSS
