"DOLA_LG_ID","MunicipalityName","Basin"
64009,Arvada,Metro
64009,Arvada,South Platte
64010,Aurora,Metro
64010,Aurora,South Platte
64029,Brighton,Metro
64029,Brighton,South Platte
64030,Broomfield,Metro
64030,Broomfield,South Platte
03029,Commerce City,Metro
03029,Commerce City,South Platte
15015,Denver,Metro
15015,Denver,South Platte
25008,Grand Junction,Colorado
25008,Grand Junction,Gunnison
62038,Lochbuie,Metro
62038,Lochbuie,South Platte
64198,Northglenn,Metro
64198,Northglenn,South Platte
25025,Woodland Park,Arkansas
25025,Woodland Park,Metro
