"DOLA_LG_ID","MunicipalityName","DocumentType","Website","PublicationDate"
64009,Arvada,Efficiency Plan,http://static.arvada.org/docs/1291916807Water_Conservation_Plan.pdf,2010
64010,Aurora,Efficiency Plan,https://www.auroragov.org/UserFiles/Servers/Server_1881137/File/Residents/Water/Water%20System/Aurora%20Water%20Facts/Final_2015_ConservationPlan_update_3.18.16.pdf,2015
64258,Bennett,Source Water Assessment Report,https://drive.google.com/file/d/0B0tmPQ67k3NVVUpYR3czWk9ZTE0/view,2004
07006,Boulder,Efficiency Plan,https://www-static.bouldercolorado.gov/docs/WEP_October_Final-1-201610180831.pdf,2016
07006,Boulder,Source Water Protection Plan,https://drive.google.com/file/d/0BwDv77AW5PLkcTk0TU5KUGNyZGM/view,2017
64029,Brighton,Efficiency Plan,http://www.brightonco.gov/DocumentCenter/View/10033,2016
64029,Brighton,Source Water Assessment Report,https://drive.google.com/file/d/0B0tmPQ67k3NVdnJHUFFkd1ltZTg/view,2007
23004,Castle Rock,Efficiency Plan,http://crgov.com/DocumentCenter/View/592,2015
62007,Dacono,Efficiency Plan,http://www.ci.dacono.co.us/DocumentCenter/Home/View/621,2011
15015,Denver,Efficiency Plan,https://www.denverwater.org/sites/default/files/water-efficiency-plan-draft.pdf,2017
15015,Denver,Source Water Protection Plan,https://drive.google.com/file/d/0BwDv77AW5PLkb0tNTTlJTmROVkk/view,2015
62008,Eaton,Efficiency Plan,http://cwcbweblink.state.co.us/WebLink/0/doc/168011/Page14.aspx,2011
03041,Englewood,Efficiency Plan,http://cwcbweblink.state.co.us/WebLink/DocView.aspx?id=189983&page=3&dbid=0,2013
03041,Englewood,Source Water Assessment Report,https://drive.google.com/file/d/0B0tmPQ67k3NVa2xhNWkzTWxXZFU/view,2004
64060,Erie,Efficiency Plan,https://www.erieco.gov/DocumentCenter/Home/View/245,2014
64060,Estes Park,Efficiency Plan,https://drive.google.com/file/d/0B0aDyxAOzAJELW5YaFBNTU9KR0U/view,2012
64060,Estes Park,Efficiency Plan,http://cwcbweblink.state.co.us/WebLink/0/doc/171817/Electronic.aspx,2013
62011,Evans,Efficiency Plan,http://www.evanscolorado.gov/sites/default/files/fileattachments/public_works/page/478/water_conservation_plan.adopted.pdf,2009
47005,Federal Heights,Source Water Assessment Report,https://drive.google.com/file/d/0B0tmPQ67k3NVUzlVQWZqQktERGs/view,2007
62012,Firestone,Efficiency Plan,http://www.firestoneco.gov/DocumentCenter/View/698,2007
22011,Fort Collins,Efficiency Plan,https://www.fcgov.com/utilities/img/site_specific/uploads/WEP_2015-17_FullDraft_NoWaterMark_v9.pdf,2015
22011,Fort Lupton,Efficiency Plan,http://www.fortlupton.org/Archive/ViewFile/Item/59,2007
22011,Fort Morgan,Efficiency Plan,http://www.cityoffortmorgan.com/DocumentCenter/Home/View/490,2008
62016,Frederick,Efficiency Plan,https://www.frederickco.gov/DocumentCenter/View/533,2011
62022,Greeley,Efficiency Plan,http://cwcbweblink.state.co.us/WebLink/ElectronicFile.aspx?docid=131791&&&&dbid=0,2008
07020,Lafayette,Efficiency Plan,http://cwcbweblink.state.co.us/WebLink/0/doc/139908/Electronic.aspx,2010
64205,Longmont,Efficiency Plan,https://www.longmontcolorado.gov/home/showdocument?id=18063,2017
07029,Louisville,Efficiency Plan,http://cwcbweblink.state.co.us/WebLink/0/doc/194864/Electronic.aspx,2015
35026,Loveland,Efficiency Plan,http://www.ci.loveland.co.us/home/showdocument?id=17846,2013
21032,Monument,Efficiency Plan,https://www.colorado.gov/pacific/sites/default/files/Conservation%20Plan%20091213.pdf,2013
64198,Northglenn,Efficiency Plan,https://www.northglenn.org/files/2007WaterConservationPlan.pdf,2007
64198,Northglenn,Source Water Assessment Report,https://drive.google.com/file/d/0B0tmPQ67k3NVaFpJZ2NxOU5QYVU/view,2004
39034,Palmer Lake,Efficiency Plan,https://www.colorado.gov/pacific/sites/default/files/Conservation%20Plan%20091213.pdf,2013
23017,Rifle,Efficiency Plan,https://www.rifleco.org/documentcenter/view/1114,2008
62053,Severance,Efficiency Plan,http://townofseverance.org/wp-content/uploads/2017/07/2-Severance-MWEP-2017-05-25-Draft.pdf,2017
38019,Sterling,Efficiency Plan,http://cwcbweblink.state.co.us/WebLink/0/doc/138965/Electronic.aspx,2010
64183,Superior,Efficiency Plan,http://cwcbweblink.state.co.us/WebLink/ElectronicFile.aspx?docid=155927&&dbid=0,2011
64264,Thornton,Efficiency Plan,https://www.thorntonwater.com/pdfs/cot_conservation_plan.pdf,2018
64264,Thornton,Source Water Assessment Report,https://drive.google.com/file/d/0B0tmPQ67k3NVbWlOcmU0bUpTc3c/view,2004
64153,Westminster,Efficiency Plan,http://www.waterdm.com/sites/default/files/City%20of%20Westminster%20%282013%29%20Water%20Conservation%20Plan.pdf,2013
64153,Westminster,Source Water Assessment Report,https://drive.google.com/file/d/0B0tmPQ67k3NVRWEteFlvSU9MaG8/view,2004
64225,Windsor,Efficiency Plan,https://windsorgov.com/DocumentCenter/View/16060,2015
